,chl_a
0.0,1.0388042324446716
0.1,1.0388228081296518
0.2,1.0388412958690652
0.30000000000000004,1.038859695652587
0.4,1.0388780074699429
0.5,1.0388962313109054
0.6000000000000001,1.0389143671652976
0.7000000000000001,1.0389324150229906
0.8,1.0389503748739044
0.9,1.0389682467080084
1.0,1.0389860305153202
1.1,1.0390037262859069
1.2000000000000002,1.0390213340098844
1.3,1.0390388536774176
1.4000000000000001,1.0390562852787197
1.5,1.0390736288040539
1.6,1.0390908842437314
1.7000000000000002,1.039108051588113
1.8,1.0391251308276084
1.9000000000000001,1.039142121952676
2.0,1.0391590249538232
2.1,1.0391758398216069
2.2,1.0391925665466326
2.3000000000000003,1.039209205119555
2.4000000000000004,1.0392257555310773
2.5,1.0392422177719527
2.6,1.0392585918329826
2.7,1.0392748777050183
2.8000000000000003,1.0392910753789588
2.9000000000000004,1.0393071848457538
3.0,1.0393232060964013
3.1,1.0393391391219478
3.2,1.0393549839134901
3.3000000000000003,1.0393707404621733
3.4000000000000004,1.0393864087591922
3.5,1.0394019887957897
3.6,1.039417480563259
3.7,1.0394328840529419
3.8000000000000003,1.0394481992562294
3.9000000000000004,1.0394634261645614
4.0,1.0394785647694276
4.1000000000000005,1.0394936150623664
4.2,1.0395085770349652
4.3,1.0395234506788613
4.4,1.0395382359857406
4.5,1.039552932947338
4.6000000000000005,1.0395675415554386
4.7,1.039582061801876
4.800000000000001,1.039596493678533
4.9,1.0396108371773416
5.0,1.0396250922902834
5.1000000000000005,1.0396392590093892
5.2,1.0396533373267387
5.300000000000001,1.0396673272344614
5.4,1.0396812287247355
5.5,1.0396950417897886
5.6000000000000005,1.0397087664218982
5.7,1.0397224026133904
5.800000000000001,1.0397359503566408
5.9,1.0397494096440745
6.0,1.0397627804681657
6.1000000000000005,1.0397760628214376
6.2,1.039789256696464
6.300000000000001,1.0398023620858663
6.4,1.0398153789823164
6.5,1.0398283073785355
6.6000000000000005,1.0398411472672935
6.7,1.03985389864141
6.800000000000001,1.0398665614937548
6.9,1.0398791358172454
7.0,1.0398916216048504
7.1000000000000005,1.0399040188495863
7.2,1.0399163275445202
7.300000000000001,1.039928547682768
7.4,1.0399406792574948
7.5,1.0399527222619158
7.6000000000000005,1.0399646766892952
7.7,1.0399765425329464
7.800000000000001,1.0399883197862327
7.9,1.0400000084425667
8.0,1.0400116084954103
8.1,1.040023119938275
8.200000000000001,1.040034542764722
8.3,1.0400458769683611
8.4,1.0400571225428525
8.5,1.0400682794819056
8.6,1.0400793477792791
8.700000000000001,1.0400903274287816
8.8,1.0401012184242704
8.9,1.040112020759653
9.0,1.0401227344288864
9.1,1.0401333594259765
9.200000000000001,1.0401438957449796
9.3,1.040154343380001
9.4,1.0401647023251954
9.5,1.0401749725747673
9.600000000000001,1.0401851541229705
9.700000000000001,1.040195246964109
9.8,1.0402052510925355
9.9,1.0402151665026524
10.0,1.0402249931889125
10.100000000000001,1.040234731145817
10.200000000000001,1.0402443803679178
10.3,1.040253940849815
10.4,1.0402634125861598
10.5,1.0402727955716518
10.600000000000001,1.040282089801041
10.700000000000001,1.0402912952691263
10.8,1.0403004119707568
10.9,1.040309439900831
11.0,1.0403183790542967
11.100000000000001,1.0403272294261519
11.200000000000001,1.0403359910114438
11.3,1.0403446638052691
11.4,1.0403532478027746
11.5,1.0403617429991565
11.600000000000001,1.0403701493896607
11.700000000000001,1.0403784669695824
11.8,1.040386695734267
11.9,1.0403948356791088
12.0,1.040402886799553
12.100000000000001,1.040410849091093
12.200000000000001,1.040418722549273
12.3,1.0404265071696863
12.4,1.0404342029479756
12.5,1.0404418098798345
12.600000000000001,1.0404493279610048
12.700000000000001,1.0404567571872785
12.8,1.040464097554498
12.9,1.0404713490585547
13.0,1.0404785116953894
13.100000000000001,1.0404855854609933
13.200000000000001,1.0404925703514072
13.3,1.040499466362721
13.4,1.040506273491075
13.5,1.040512991732659
13.600000000000001,1.0405196210837124
13.700000000000001,1.0405261615405244
13.8,1.0405326130994337
13.9,1.0405389757568293
14.0,1.0405452495091492
14.100000000000001,1.0405514343528819
14.200000000000001,1.040557530284565
14.3,1.0405635373007864
14.4,1.040569455398183
14.5,1.0405752845734422
14.600000000000001,1.0405810248233007
14.700000000000001,1.040586676144545
14.8,1.0405922385340116
14.9,1.0405977119885867
15.0,1.040603096505206
15.100000000000001,1.040608392080855
15.200000000000001,1.0406135987125695
15.3,1.0406187163974345
15.4,1.0406237451325848
15.5,1.0406286849152053
15.600000000000001,1.0406335357425307
15.700000000000001,1.040638297611845
15.8,1.040642970520482
15.9,1.0406475544658262
16.0,1.0406520494453109
16.1,1.0406564554564195
16.2,1.0406607724966854
16.3,1.0406650005636915
16.400000000000002,1.040669139655071
16.5,1.040673189768506
16.6,1.0406771509017292
16.7,1.040681023052523
16.8,1.040684806218719
16.900000000000002,1.0406885003981996
17.0,1.0406921055888962
17.1,1.0406956217887902
17.2,1.0406990489959131
17.3,1.0407023872083458
17.400000000000002,1.0407056364242195
17.5,1.040708796641715
17.6,1.0407118678590623
17.7,1.0407148500745427
17.8,1.0407177432864856
17.900000000000002,1.0407205474932715
18.0,1.0407232626933303
18.1,1.0407258888851416
18.2,1.040728426067235
18.3,1.0407308742381898
18.400000000000002,1.040733233396635
18.5,1.0407355035412502
18.6,1.040737684670764
18.7,1.040739776783955
18.8,1.040741779879652
18.900000000000002,1.0407436939567334
19.0,1.040745519014127
19.1,1.0407472550508117
19.200000000000003,1.0407489020658147
19.3,1.0407504600582143
19.400000000000002,1.0407519290271376
19.5,1.0407533089717624
19.6,1.040754599891316
19.700000000000003,1.0407558017850755
19.8,1.040756914652368
19.900000000000002,1.0407579384925703
20.0,1.040758873305109
20.1,1.0407597190894609
20.200000000000003,1.040760475845152
20.3,1.040761143571759
20.400000000000002,1.0407617222689078
20.5,1.0407622119362745
20.6,1.0407626125735847
20.700000000000003,1.0407629241806142
20.8,1.0407631467571883
20.900000000000002,1.0407632803031828
21.0,1.0407633248185224
21.1,1.0407632803031828
21.200000000000003,1.0407631467571883
21.3,1.0407629241806142
21.400000000000002,1.0407626125735847
21.5,1.0407622119362745
21.6,1.0407617222689078
21.700000000000003,1.040761143571759
21.8,1.040760475845152
21.900000000000002,1.0407597190894609
22.0,1.040758873305109
22.1,1.0407579384925703
22.200000000000003,1.040756914652368
22.3,1.0407558017850755
22.400000000000002,1.040754599891316
22.5,1.0407533089717624
22.6,1.0407519290271376
22.700000000000003,1.0407504600582143
22.8,1.0407489020658147
22.900000000000002,1.0407472550508117
23.0,1.040745519014127
23.1,1.0407436939567334
23.200000000000003,1.040741779879652
23.3,1.040739776783955
23.400000000000002,1.0407376846707639
23.5,1.0407355035412502
23.6,1.040733233396635
23.700000000000003,1.0407308742381898
23.8,1.040728426067235
23.900000000000002,1.0407258888851416
24.0,1.0407232626933303
24.1,1.0407205474932715
24.200000000000003,1.0407177432864856
24.3,1.0407148500745427
24.400000000000002,1.0407118678590623
24.5,1.0407087966417148
24.6,1.0407056364242195
24.700000000000003,1.0407023872083458
24.8,1.0406990489959131
24.900000000000002,1.0406956217887902
25.0,1.0406921055888962
25.1,1.0406885003981996
25.200000000000003,1.040684806218719
25.3,1.0406810230525227
25.400000000000002,1.0406771509017292
25.5,1.040673189768506
25.6,1.040669139655071
25.700000000000003,1.0406650005636915
25.8,1.0406607724966854
25.900000000000002,1.0406564554564195
26.0,1.0406520494453106
26.1,1.040647554465826
26.200000000000003,1.040642970520482
26.3,1.040638297611845
26.400000000000002,1.0406335357425305
26.5,1.0406286849152053
26.6,1.0406237451325848
26.700000000000003,1.0406187163974345
26.8,1.0406135987125695
26.900000000000002,1.040608392080855
27.0,1.040603096505206
27.1,1.0405977119885865
27.200000000000003,1.0405922385340116
27.3,1.040586676144545
27.400000000000002,1.0405810248233005
27.5,1.0405752845734422
27.6,1.040569455398183
27.700000000000003,1.0405635373007862
27.8,1.040557530284565
27.900000000000002,1.0405514343528819
28.0,1.0405452495091492
28.1,1.0405389757568293
28.200000000000003,1.0405326130994337
28.3,1.0405261615405244
28.400000000000002,1.0405196210837122
28.5,1.040512991732659
28.6,1.040506273491075
28.700000000000003,1.040499466362721
28.8,1.040492570351407
28.900000000000002,1.0404855854609933
29.0,1.0404785116953894
29.1,1.0404713490585544
29.200000000000003,1.0404640975544979
29.3,1.0404567571872785
29.400000000000002,1.0404493279610045
29.5,1.0404418098798343
29.6,1.0404342029479756
29.700000000000003,1.040426507169686
29.8,1.040418722549273
29.900000000000002,1.040410849091093
0.0,1.1527812173823955
0.1,1.1537554380536008
0.2,1.1547226858424973
0.30000000000000004,1.155682936320731
0.4,1.1566361652188122
0.5,1.1575823484271361
0.6000000000000001,1.1585214619969995
0.7000000000000001,1.1594534821416096
0.8,1.1603783852370877
0.9,1.1612961478234667
1.0,1.1622067466056818
1.1,1.1631101584545558
1.2000000000000002,1.1640063604077775
1.3,1.164895329670874
1.4000000000000001,1.1657770436181754
1.5,1.1666514797937757
1.6,1.1675186159124846
1.7000000000000002,1.168378429860774
1.8,1.169230899697716
1.9000000000000001,1.1700760036559184
