,chl_a
0.0,1.6702771625502826
0.1,1.6725740438356844
0.2,1.6750080222164783
0.30000000000000004,1.6775860645724652
0.4,1.6803154086445018
0.5,1.683203568142103
0.6000000000000001,1.6862583375782116
0.7000000000000001,1.6894877968004482
0.8,1.6929003151870736
0.9,1.6965045554748912
1.0,1.7003094771853198
1.1,1.7043243396139625
1.2000000000000002,1.708558704348132
1.3,1.7130224372760139
1.4000000000000001,1.7177257100504366
1.5,1.7226790009696016
1.6,1.7278930952366023
1.7000000000000002,1.7333790845591286
1.8,1.7391483660504528
1.9000000000000001,1.7452126403925836
2.0,1.7515839092224186
2.1,1.758274471701776
2.2,1.7652969202324043
2.3000000000000003,1.7726641352774153
2.4000000000000004,1.7803892792510978
2.5,1.7884857894397468
2.6,1.7969673699169808
2.7,1.805847982418048
2.8000000000000003,1.8151418361388167
2.9000000000000004,1.824863376426546
3.0,1.8350272723311039
3.1,1.8456484029870934
3.2,1.8567418427993236
3.3000000000000003,1.8683228454062462
3.4000000000000004,1.8804068263983789
3.5,1.8930093447713328
3.6,1.9061460830958707
3.7,1.9198328263904507
3.8000000000000003,1.934085439684925
3.9000000000000004,1.9489198442675093
4.0,1.9643519926107693
4.1000000000000005,1.9803978419762025
4.2,1.9970733267010343
4.3,2.0143943291750546
4.4,2.032376649519727
4.5,2.0510359739863624
4.6000000000000005,2.070387842094902
4.7,2.0904476125397076
4.800000000000001,2.1112304278938145
4.9,2.1327511781482293
5.0,2.155024463128124
5.1000000000000005,2.17806455383314
5.2,2.201885352754453
5.300000000000001,2.226500353226745
5.4,2.2519225978787825
5.5,2.278164636251865
5.6000000000000005,2.305238481660973
5.7,2.3331555673790056
5.800000000000001,2.361926702229996
5.9,2.391562025682656
6.0,2.4220709625409307
6.1000000000000005,2.4534621773335084
6.2,2.485743528509319
6.300000000000001,2.518922022550997
6.4,2.5530037681230295
6.5,2.587993930375837
6.6000000000000005,2.6238966855313133
6.7,2.6607151758793837
6.800000000000001,2.6984514653188256
6.9,2.737106495579036
7.0,2.7766800432624246
7.1000000000000005,2.817170677849833
7.2,2.8585757208136267
7.300000000000001,2.900891205984977
7.4,2.944111841323269
7.5,2.988230972236492
7.6000000000000005,3.0332405466019736
7.7,3.07913108163675
7.800000000000001,3.125891632766322
7.9,3.1735097646394292
8.0,3.221971524434876
8.1,3.2712614176041734
8.200000000000001,3.321362386191047
8.3,3.3722557898654557
