"";"nom.du.projet";"nom.du.site";"nom.de.la.plateforme";"date.prélèvement";"profondeur.min.réelle.observée..m.";"profondeur.max.réelle.observée..m.";"chlorophylle.a.scor.unesco..µg.l.";"chlorophylle.a.strickland.parsons..µg.l.";"chlorophylle.c..µg.l.";"pheopigments..µg.l."
"544";"Suivi des lacs";"Léman";"SHL2";"04/09/2019";3.5;3.5;2.551;2.551;0.928;0.126
"545";"Suivi des lacs";"Léman";"SHL2";"04/09/2019";5;5;2.735;2.735;1.167;0.119
"546";"Suivi des lacs";"Léman";"SHL2";"04/09/2019";7.5;7.5;3.373;3.373;1.46;0.187
"547";"Suivi des lacs";"Léman";"SHL2";"04/09/2019";10;10;3.853;3.853;1.365;0.258
"548";"Suivi des lacs";"Léman";"SHL2";"04/09/2019";15;15;1.746;1.746;0.582;0.211
"549";"Suivi des lacs";"Léman";"SHL2";"04/09/2019";20;20;1.295;1.295;0.363;0.183
"550";"Suivi des lacs";"Léman";"SHL2";"04/09/2019";30;30;1.5;1.5;0.631;0.288
"551";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";0;0;1.339;1.339;0.467;0.016
"552";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";1;1;1.369;1.369;0.453;0.008
"553";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";2.5;2.5;1.313;1.313;0.476;0.021
"554";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";3.5;3.5;1.184;1.184;0.41;0.031
"555";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";5;5;1.988;1.988;0.757;0
"556";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";7.5;7.5;2.122;2.122;0.801;0.012
"557";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";10;10;2.471;2.471;0.88;0.039
"558";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";15;15;5.008;5.008;1.587;0.487
"559";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";20;20;5.595;5.595;1.547;0.356
"560";"Suivi des lacs";"Léman";"SHL2";"11/09/2019";30;30;1.217;1.217;0.43;0.208
"561";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";0;0;1.671;1.671;0.599;0
"562";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";1;1;1.805;1.805;0.641;0
"563";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";2.5;2.5;1.735;1.735;0.599;0
"564";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";3.5;3.5;1.776;1.776;0.6;0
"565";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";5;5;1.78;1.78;0.597;0
"566";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";7.5;7.5;1.617;1.617;0.562;0
"567";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";10;10;1.67;1.67;0.549;0
"568";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";15;15;5.731;5.731;1.524;0.353
"569";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";20;20;4.03;4.03;1.266;0.367
"570";"Suivi des lacs";"Léman";"SHL2";"24/09/2019";30;30;1.053;1.053;0.381;0.2
"571";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";0;0;2.712;2.712;0.744;0.141
"572";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";1;1;3;3;0.91;0.147
"573";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";2.5;2.5;3.438;3.438;1.035;0.143
"574";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";3.5;3.5;3.606;3.606;1.101;0.131
"575";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";5;5;3.45;3.45;1.063;0.146
"576";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";7.5;7.5;3.422;3.422;0.896;0.171
"577";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";10;10;3.706;3.706;1.318;0.217
"578";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";15;15;3.87;3.87;1.098;0.271
"579";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";20;20;3.656;3.656;1.076;0.309
"580";"Suivi des lacs";"Léman";"SHL2";"14/10/2019";30;30;1.574;1.574;0.46;0.211
"581";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";0;0;5.265;5.265;1.511;0.288
"582";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";1;1;5.604;5.604;1.533;0.291
"583";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";2.5;2.5;5.328;5.328;1.467;0.268
"584";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";3.5;3.5;5.256;5.256;1.537;0.315
"585";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";5;5;4.98;4.98;1.35;0.308
"586";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";7.5;7.5;4.841;4.841;1.27;0.313
"587";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";10;10;4.503;4.503;1.121;0.317
"588";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";15;15;2.33;2.33;0.675;0.352
"589";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";20;20;1.655;1.655;0.366;0.348
"590";"Suivi des lacs";"Léman";"SHL2";"28/10/2019";30;30;0.577;0.577;0.151;0.173
"591";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";0;0;6.35;6.35;1.573;0.164
"592";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";1;1;7.428;7.428;1.822;0.227
"593";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";2.5;2.5;7.437;7.437;1.926;0.129
"594";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";3.5;3.5;7.606;7.606;1.809;0.185
"595";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";5;5;7.597;7.597;1.86;0.107
"596";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";7.5;7.5;7.342;7.342;1.738;0.189
"597";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";10;10;7.244;7.244;1.814;0.113
"598";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";15;15;7.163;7.163;1.792;0.124
"599";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";20;20;7.163;7.163;1.815;0.126
"600";"Suivi des lacs";"Léman";"SHL2";"13/11/2019";30;30;7.003;7.003;1.762;0.101
"601";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";0;0;6.603;6.603;0.25;0
"602";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";1;1;6.799;6.799;0.43;0
"603";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";2.5;2.5;7.114;7.114;0.643;0
"604";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";3.5;3.5;7.352;7.352;0.371;0
"605";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";5;5;7.567;7.567;0.508;0
"606";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";7.5;7.5;7.616;7.616;0.306;0
"607";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";10;10;7.167;7.167;0.217;0
"608";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";15;15;7.125;7.125;0.538;0
"609";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";20;20;6.932;6.932;0.153;0
"610";"Suivi des lacs";"Léman";"SHL2";"10/12/2019";30;30;5.484;5.484;0.25;0.005
