nom du projet;nom du site;nom de la plateforme;date prelevement;profondeur min réelle observée (m);profondeur max réelle observée (m);chlorophylle a strickland-parsons (µg/l);chlorophylle a scor-unesco (µg/l)
Suivi des lacs;Léman;SHL2;26/03/2018;2.5;2.5;;2.55
Suivi des lacs;Léman;SHL2;26/03/2018;3.5;3.5;;2.44
Suivi des lacs;Léman;SHL2;26/03/2018;5.0;5.0;;2.31
Suivi des lacs;Léman;SHL2;26/03/2018;7.5;7.5;;2.16
Suivi des lacs;Léman;SHL2;26/03/2018;10.0;10.0;;1.8
Suivi des lacs;Léman;SHL2;26/03/2018;15.0;15.0;;1.85
Suivi des lacs;Léman;SHL2;26/03/2018;20.0;20.0;;1.24
Suivi des lacs;Léman;SHL2;26/03/2018;30.0;30.0;;1.52
Suivi des lacs;Léman;SHL2;09/04/2018;0.0;0.0;;4.01
Suivi des lacs;Léman;SHL2;09/04/2018;1.0;1.0;;7.85
Suivi des lacs;Léman;SHL2;09/04/2018;2.5;2.5;;7.31
Suivi des lacs;Léman;SHL2;09/04/2018;3.5;3.5;;8.85
Suivi des lacs;Léman;SHL2;09/04/2018;5.0;5.0;;5.88
Suivi des lacs;Léman;SHL2;09/04/2018;7.5;7.5;;5.96
Suivi des lacs;Léman;SHL2;09/04/2018;10.0;10.0;;5.78
Suivi des lacs;Léman;SHL2;09/04/2018;15.0;15.0;;3.58
Suivi des lacs;Léman;SHL2;09/04/2018;20.0;20.0;;3.52
Suivi des lacs;Léman;SHL2;09/04/2018;30.0;30.0;;1.77
Suivi des lacs;Léman;SHL2;24/04/2018;0.0;0.0;;2.34
Suivi des lacs;Léman;SHL2;24/04/2018;1.0;1.0;;5.13
Suivi des lacs;Léman;SHL2;24/04/2018;2.5;2.5;;5.66
Suivi des lacs;Léman;SHL2;24/04/2018;3.5;3.5;;5.07
Suivi des lacs;Léman;SHL2;24/04/2018;5.0;5.0;;4.38
Suivi des lacs;Léman;SHL2;24/04/2018;7.5;7.5;;5.28
Suivi des lacs;Léman;SHL2;24/04/2018;10.0;10.0;;5.44
Suivi des lacs;Léman;SHL2;24/04/2018;15.0;15.0;;4.76
Suivi des lacs;Léman;SHL2;24/04/2018;20.0;20.0;;3.6
Suivi des lacs;Léman;SHL2;24/04/2018;30.0;30.0;;2.34
Suivi des lacs;Léman;SHL2;15/05/2018;0.0;0.0;;8.24
Suivi des lacs;Léman;SHL2;15/05/2018;1.0;1.0;;9.02
Suivi des lacs;Léman;SHL2;15/05/2018;2.5;2.5;;8.67
Suivi des lacs;Léman;SHL2;15/05/2018;3.5;3.5;;11.03
Suivi des lacs;Léman;SHL2;15/05/2018;5.0;5.0;;9.2
Suivi des lacs;Léman;SHL2;15/05/2018;7.5;7.5;;9
Suivi des lacs;Léman;SHL2;15/05/2018;10.0;10.0;;8.29
Suivi des lacs;Léman;SHL2;15/05/2018;15.0;15.0;;9.19
Suivi des lacs;Léman;SHL2;15/05/2018;20.0;20.0;;10.46
Suivi des lacs;Léman;SHL2;15/05/2018;30.0;30.0;;2.88
Suivi des lacs;Léman;SHL2;28/05/2018;0.0;0.0;;4.88
Suivi des lacs;Léman;SHL2;28/05/2018;1.0;1.0;;6.92
Suivi des lacs;Léman;SHL2;28/05/2018;2.5;2.5;;8.95
Suivi des lacs;Léman;SHL2;28/05/2018;3.5;3.5;;8.99
Suivi des lacs;Léman;SHL2;28/05/2018;5.0;5.0;;9.3
Suivi des lacs;Léman;SHL2;28/05/2018;7.5;7.5;;11
Suivi des lacs;Léman;SHL2;28/05/2018;10.0;10.0;;8.67
Suivi des lacs;Léman;SHL2;28/05/2018;15.0;15.0;;4.13
Suivi des lacs;Léman;SHL2;28/05/2018;20.0;20.0;;2.54
Suivi des lacs;Léman;SHL2;28/05/2018;30.0;30.0;;1.43
Suivi des lacs;Léman;SHL2;12/06/2018;0.0;0.0;;3.75
Suivi des lacs;Léman;SHL2;12/06/2018;1.0;1.0;;5.52
Suivi des lacs;Léman;SHL2;12/06/2018;2.5;2.5;;5.47
Suivi des lacs;Léman;SHL2;12/06/2018;3.5;3.5;;6.51
Suivi des lacs;Léman;SHL2;12/06/2018;5.0;5.0;;4.8
Suivi des lacs;Léman;SHL2;12/06/2018;7.5;7.5;;6.15
Suivi des lacs;Léman;SHL2;12/06/2018;10.0;10.0;;13.13
Suivi des lacs;Léman;SHL2;12/06/2018;15.0;15.0;;16.21
Suivi des lacs;Léman;SHL2;12/06/2018;20.0;20.0;;11.55
Suivi des lacs;Léman;SHL2;12/06/2018;30.0;30.0;;2.65
Suivi des lacs;Léman;SHL2;02/07/2018;0.0;0.0;;2.92
Suivi des lacs;Léman;SHL2;02/07/2018;1.0;1.0;;4.51
Suivi des lacs;Léman;SHL2;02/07/2018;2.5;2.5;;6.04
Suivi des lacs;Léman;SHL2;02/07/2018;3.5;3.5;;6.14
Suivi des lacs;Léman;SHL2;02/07/2018;5.0;5.0;;6.38
Suivi des lacs;Léman;SHL2;02/07/2018;7.5;7.5;;5.62
Suivi des lacs;Léman;SHL2;02/07/2018;10.0;10.0;;4.63
Suivi des lacs;Léman;SHL2;02/07/2018;15.0;15.0;;3.46
Suivi des lacs;Léman;SHL2;02/07/2018;20.0;20.0;;2.43
Suivi des lacs;Léman;SHL2;02/07/2018;30.0;30.0;;1.91
Suivi des lacs;Léman;SHL2;17/07/2018;0.0;0.0;;2.08
Suivi des lacs;Léman;SHL2;17/07/2018;1.0;1.0;;2.85
Suivi des lacs;Léman;SHL2;17/07/2018;2.5;2.5;;3.52
Suivi des lacs;Léman;SHL2;17/07/2018;3.5;3.5;;3.99
Suivi des lacs;Léman;SHL2;17/07/2018;5.0;5.0;;3.85
Suivi des lacs;Léman;SHL2;17/07/2018;7.5;7.5;;5.46
Suivi des lacs;Léman;SHL2;17/07/2018;10.0;10.0;;8.36
Suivi des lacs;Léman;SHL2;17/07/2018;15.0;15.0;;7.11
Suivi des lacs;Léman;SHL2;17/07/2018;20.0;20.0;;2.93
Suivi des lacs;Léman;SHL2;17/07/2018;30.0;30.0;;1.41
Suivi des lacs;Léman;SHL2;30/07/2018;0.0;0.0;;1.98
Suivi des lacs;Léman;SHL2;30/07/2018;1.0;1.0;;2.39
Suivi des lacs;Léman;SHL2;30/07/2018;2.5;2.5;;2.88
Suivi des lacs;Léman;SHL2;30/07/2018;3.5;3.5;;2.89
Suivi des lacs;Léman;SHL2;30/07/2018;5.0;5.0;;4.82
Suivi des lacs;Léman;SHL2;30/07/2018;7.5;7.5;;7.43
Suivi des lacs;Léman;SHL2;30/07/2018;10.0;10.0;;6.76
Suivi des lacs;Léman;SHL2;30/07/2018;15.0;15.0;;6.1
Suivi des lacs;Léman;SHL2;30/07/2018;20.0;20.0;;3.06
Suivi des lacs;Léman;SHL2;30/07/2018;30.0;30.0;;1.38
Suivi des lacs;Léman;SHL2;22/08/2018;0.0;0.0;;3.08
Suivi des lacs;Léman;SHL2;22/08/2018;1.0;1.0;;3.04
Suivi des lacs;Léman;SHL2;22/08/2018;2.5;2.5;;4.39
Suivi des lacs;Léman;SHL2;22/08/2018;3.5;3.5;;4.9
Suivi des lacs;Léman;SHL2;22/08/2018;5.0;5.0;;3.8
Suivi des lacs;Léman;SHL2;22/08/2018;7.5;7.5;;5.54
Suivi des lacs;Léman;SHL2;22/08/2018;10.0;10.0;;14.89
Suivi des lacs;Léman;SHL2;22/08/2018;15.0;15.0;;12.18
Suivi des lacs;Léman;SHL2;22/08/2018;20.0;20.0;;4.44
Suivi des lacs;Léman;SHL2;22/08/2018;30.0;30.0;;1.4
