nom du projet,nom du site,nom de la plateforme,date de prélèvement,profondeur min (m),profondeur réelle observée (m),chl a (mg_m3),
Suivi des lacs,Léman,SHL2,17/10/2016,0.4,0.4,3.52,
Suivi des lacs,Léman,SHL2,17/10/2016,0.7,0.7,3.52,
Suivi des lacs,Léman,SHL2,17/10/2016,0.9,0.9,4.11,
Suivi des lacs,Léman,SHL2,17/10/2016,1.4,1.4,3.43,
Suivi des lacs,Léman,SHL2,17/10/2016,1.7,1.7,3.33,
Suivi des lacs,Léman,SHL2,17/10/2016,1.9,1.9,3.46,
Suivi des lacs,Léman,SHL2,17/10/2016,2.2,2.2,3.7,
Suivi des lacs,Léman,SHL2,17/10/2016,2.4,2.4,3.8,
Suivi des lacs,Léman,SHL2,17/10/2016,3.0,3.0,3.64,
Suivi des lacs,Léman,SHL2,17/10/2016,3.5,3.5,3.3,
Suivi des lacs,Léman,SHL2,17/10/2016,3.7,3.7,2.87,
Suivi des lacs,Léman,SHL2,17/10/2016,4.0,4.0,2.84,
Suivi des lacs,Léman,SHL2,17/10/2016,4.2,4.2,2.65,
Suivi des lacs,Léman,SHL2,17/10/2016,4.8,4.8,2.93,
Suivi des lacs,Léman,SHL2,17/10/2016,5.2,5.2,2.62,
Suivi des lacs,Léman,SHL2,17/10/2016,5.5,5.5,2.5,
Suivi des lacs,Léman,SHL2,17/10/2016,6.0,6.0,2.16,
Suivi des lacs,Léman,SHL2,17/10/2016,6.3,6.3,2.13,
Suivi des lacs,Léman,SHL2,17/10/2016,6.5,6.5,2.01,
Suivi des lacs,Léman,SHL2,17/10/2016,6.8,6.8,1.91,
Suivi des lacs,Léman,SHL2,17/10/2016,7.0,7.0,1.91,
Suivi des lacs,Léman,SHL2,17/10/2016,7.3,7.3,1.79,
Suivi des lacs,Léman,SHL2,17/10/2016,7.6,7.6,1.73,
Suivi des lacs,Léman,SHL2,17/10/2016,7.8,7.8,2.01,
Suivi des lacs,Léman,SHL2,17/10/2016,8.3,8.3,1.57,
Suivi des lacs,Léman,SHL2,17/10/2016,8.6,8.6,1.73,
Suivi des lacs,Léman,SHL2,17/10/2016,9.1,9.1,1.57,
Suivi des lacs,Léman,SHL2,17/10/2016,9.6,9.6,1.39,
Suivi des lacs,Léman,SHL2,17/10/2016,10.1,10.1,1.51,
Suivi des lacs,Léman,SHL2,17/10/2016,10.4,10.4,1.27,
Suivi des lacs,Léman,SHL2,17/10/2016,10.6,10.6,1.39,
Suivi des lacs,Léman,SHL2,17/10/2016,11.1,11.1,1.14,
Suivi des lacs,Léman,SHL2,17/10/2016,11.4,11.4,1.14,
Suivi des lacs,Léman,SHL2,17/10/2016,11.7,11.7,1.17,
Suivi des lacs,Léman,SHL2,17/10/2016,12.2,12.2,1.08,
Suivi des lacs,Léman,SHL2,17/10/2016,12.4,12.4,1.08,
Suivi des lacs,Léman,SHL2,17/10/2016,12.7,12.7,1.02,
Suivi des lacs,Léman,SHL2,17/10/2016,12.9,12.9,1.08,
Suivi des lacs,Léman,SHL2,17/10/2016,13.2,13.2,1.05,
Suivi des lacs,Léman,SHL2,17/10/2016,13.7,13.7,1.05,
Suivi des lacs,Léman,SHL2,17/10/2016,14.0,14.0,0.99,
Suivi des lacs,Léman,SHL2,17/10/2016,14.2,14.2,0.99,
Suivi des lacs,Léman,SHL2,17/10/2016,14.7,14.7,1.02,
Suivi des lacs,Léman,SHL2,17/10/2016,15.2,15.2,0.93,
Suivi des lacs,Léman,SHL2,17/10/2016,15.5,15.5,0.96,
Suivi des lacs,Léman,SHL2,17/10/2016,16.0,16.0,0.99,
Suivi des lacs,Léman,SHL2,17/10/2016,16.2,16.2,0.89,
Suivi des lacs,Léman,SHL2,17/10/2016,16.5,16.5,0.93,
Suivi des lacs,Léman,SHL2,17/10/2016,17.0,17.0,0.93,
Suivi des lacs,Léman,SHL2,17/10/2016,17.6,17.6,1.2,
Suivi des lacs,Léman,SHL2,17/10/2016,18.0,18.0,0.89,
Suivi des lacs,Léman,SHL2,17/10/2016,18.5,18.5,1.02,
Suivi des lacs,Léman,SHL2,17/10/2016,18.8,18.8,0.96,
Suivi des lacs,Léman,SHL2,17/10/2016,19.1,19.1,0.96,
Suivi des lacs,Léman,SHL2,17/10/2016,19.3,19.3,0.93,
Suivi des lacs,Léman,SHL2,17/10/2016,19.6,19.6,0.83,
Suivi des lacs,Léman,SHL2,17/10/2016,19.8,19.8,0.89,
Suivi des lacs,Léman,SHL2,17/10/2016,20.1,20.1,0.93,
Suivi des lacs,Léman,SHL2,17/10/2016,20.6,20.6,0.8,
Suivi des lacs,Léman,SHL2,17/10/2016,21.1,21.1,0.68,
Suivi des lacs,Léman,SHL2,17/10/2016,21.4,21.4,0.77,
Suivi des lacs,Léman,SHL2,17/10/2016,21.6,21.6,0.68,
Suivi des lacs,Léman,SHL2,17/10/2016,21.9,21.9,0.71,
Suivi des lacs,Léman,SHL2,17/10/2016,22.4,22.4,0.68,
Suivi des lacs,Léman,SHL2,17/10/2016,22.7,22.7,0.68,
Suivi des lacs,Léman,SHL2,17/10/2016,22.9,22.9,0.74,
Suivi des lacs,Léman,SHL2,17/10/2016,23.4,23.4,0.65,
Suivi des lacs,Léman,SHL2,17/10/2016,23.9,23.9,0.62,
Suivi des lacs,Léman,SHL2,17/10/2016,24.4,24.4,0.56,
Suivi des lacs,Léman,SHL2,17/10/2016,24.7,24.7,0.56,
Suivi des lacs,Léman,SHL2,17/10/2016,25.0,25.0,0.62,
Suivi des lacs,Léman,SHL2,17/10/2016,25.5,25.5,0.59,
Suivi des lacs,Léman,SHL2,17/10/2016,25.7,25.7,0.52,
Suivi des lacs,Léman,SHL2,17/10/2016,26.2,26.2,0.52,
Suivi des lacs,Léman,SHL2,17/10/2016,26.5,26.5,0.49,
Suivi des lacs,Léman,SHL2,17/10/2016,27.0,27.0,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,27.3,27.3,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,27.5,27.5,0.52,
Suivi des lacs,Léman,SHL2,17/10/2016,27.8,27.8,0.4,
Suivi des lacs,Léman,SHL2,17/10/2016,28.3,28.3,0.46,
Suivi des lacs,Léman,SHL2,17/10/2016,28.5,28.5,0.4,
Suivi des lacs,Léman,SHL2,17/10/2016,28.8,28.8,0.49,
Suivi des lacs,Léman,SHL2,17/10/2016,29.3,29.3,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,29.6,29.6,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,30.1,30.1,0.4,
Suivi des lacs,Léman,SHL2,17/10/2016,30.3,30.3,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,30.6,30.6,0.49,
Suivi des lacs,Léman,SHL2,17/10/2016,30.8,30.8,0.4,
Suivi des lacs,Léman,SHL2,17/10/2016,31.3,31.3,0.4,
Suivi des lacs,Léman,SHL2,17/10/2016,31.6,31.6,0.4,
Suivi des lacs,Léman,SHL2,17/10/2016,32.1,32.1,0.46,
Suivi des lacs,Léman,SHL2,17/10/2016,32.4,32.4,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,32.6,32.6,0.49,
Suivi des lacs,Léman,SHL2,17/10/2016,33.1,33.1,0.37,
Suivi des lacs,Léman,SHL2,17/10/2016,33.4,33.4,0.37,
Suivi des lacs,Léman,SHL2,17/10/2016,33.7,33.7,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,34.2,34.2,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,34.4,34.4,0.56,
Suivi des lacs,Léman,SHL2,17/10/2016,34.7,34.7,0.56,
Suivi des lacs,Léman,SHL2,17/10/2016,34.9,34.9,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,35.4,35.4,0.34,
Suivi des lacs,Léman,SHL2,17/10/2016,36.0,36.0,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,36.5,36.5,0.43,
Suivi des lacs,Léman,SHL2,17/10/2016,37.0,37.0,0.34,
Suivi des lacs,Léman,SHL2,17/10/2016,37.2,37.2,0.37,
Suivi des lacs,Léman,SHL2,17/10/2016,37.8,37.8,0.46,
Suivi des lacs,Léman,SHL2,17/10/2016,38.0,38.0,0.37,
Suivi des lacs,Léman,SHL2,17/10/2016,38.5,38.5,0.34,
Suivi des lacs,Léman,SHL2,17/10/2016,38.8,38.8,0.31,
Suivi des lacs,Léman,SHL2,17/10/2016,39.0,39.0,0.31,
Suivi des lacs,Léman,SHL2,17/10/2016,39.3,39.3,0.34,
Suivi des lacs,Léman,SHL2,17/10/2016,39.6,39.6,0.31,
Suivi des lacs,Léman,SHL2,17/10/2016,40.1,40.1,0.37,
Suivi des lacs,Léman,SHL2,17/10/2016,40.6,40.6,0.31,
Suivi des lacs,Léman,SHL2,17/10/2016,40.8,40.8,0.28,
Suivi des lacs,Léman,SHL2,17/10/2016,41.1,41.1,0.28,
Suivi des lacs,Léman,SHL2,17/10/2016,41.3,41.3,0.28,
Suivi des lacs,Léman,SHL2,17/10/2016,41.6,41.6,0.28,
Suivi des lacs,Léman,SHL2,17/10/2016,41.8,41.8,0.25,
Suivi des lacs,Léman,SHL2,17/10/2016,42.1,42.1,0.25,
Suivi des lacs,Léman,SHL2,17/10/2016,42.6,42.6,0.37,
Suivi des lacs,Léman,SHL2,17/10/2016,42.9,42.9,0.25,
Suivi des lacs,Léman,SHL2,17/10/2016,43.4,43.4,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,43.9,43.9,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,44.4,44.4,0.25,
Suivi des lacs,Léman,SHL2,17/10/2016,44.7,44.7,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,44.9,44.9,0.25,
Suivi des lacs,Léman,SHL2,17/10/2016,45.2,45.2,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,45.7,45.7,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,45.9,45.9,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,46.2,46.2,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,46.4,46.4,0.28,
Suivi des lacs,Léman,SHL2,17/10/2016,46.7,46.7,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,47.2,47.2,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,47.5,47.5,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,48.0,48.0,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,48.5,48.5,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,49.0,49.0,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,49.3,49.3,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,49.5,49.5,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,50.0,50.0,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,50.5,50.5,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,50.8,50.8,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,51.3,51.3,0.25,
Suivi des lacs,Léman,SHL2,17/10/2016,51.6,51.6,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,52.1,52.1,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,52.6,52.6,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,52.8,52.8,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,53.1,53.1,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,53.4,53.4,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,53.6,53.6,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,53.9,53.9,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,54.1,54.1,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,54.6,54.6,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,55.1,55.1,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,55.4,55.4,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,55.7,55.7,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,56.2,56.2,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,56.7,56.7,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,56.9,56.9,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,57.2,57.2,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,57.5,57.5,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,58.0,58.0,0.18,
Suivi des lacs,Léman,SHL2,17/10/2016,58.2,58.2,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,58.5,58.5,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,58.7,58.7,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,59.2,59.2,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,59.5,59.5,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,59.8,59.8,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,60.0,60.0,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,60.5,60.5,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,61.1,61.1,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,61.6,61.6,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,62.1,62.1,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,62.6,62.6,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,63.1,63.1,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,63.3,63.3,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,63.6,63.6,0.22,
Suivi des lacs,Léman,SHL2,17/10/2016,64.1,64.1,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,64.4,64.4,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,64.6,64.6,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,64.9,64.9,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,65.4,65.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,65.7,65.7,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,66.2,66.2,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,66.7,66.7,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,66.9,66.9,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,67.2,67.2,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,67.7,67.7,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,68.0,68.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,68.5,68.5,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,68.7,68.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,69.0,69.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,69.5,69.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,69.7,69.7,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,70.2,70.2,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,70.5,70.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,71.0,71.0,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,71.3,71.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,71.5,71.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,72.0,72.0,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,72.3,72.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,72.8,72.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,73.1,73.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,73.3,73.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,73.6,73.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,74.1,74.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,74.4,74.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,74.9,74.9,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,75.1,75.1,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,75.6,75.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,75.9,75.9,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,76.2,76.2,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,76.7,76.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,76.9,76.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,77.2,77.2,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,77.7,77.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,77.9,77.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,78.5,78.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,79.0,79.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,79.2,79.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,79.5,79.5,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,79.7,79.7,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,80.0,80.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,80.5,80.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,80.8,80.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,81.0,81.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,81.3,81.3,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,81.5,81.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,82.0,82.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,82.3,82.3,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,82.6,82.6,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,83.1,83.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,83.6,83.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,84.1,84.1,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,84.4,84.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,84.9,84.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,85.1,85.1,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,85.4,85.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,85.9,85.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,86.1,86.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,86.6,86.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,86.9,86.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,87.2,87.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,87.7,87.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,88.2,88.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,88.4,88.4,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,88.7,88.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,89.0,89.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,89.5,89.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,90.0,90.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,90.2,90.2,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,90.5,90.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,91.1,91.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,91.6,91.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,92.1,92.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,92.6,92.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,93.0,93.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,93.6,93.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,93.8,93.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,94.1,94.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,94.6,94.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,94.8,94.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,95.1,95.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,95.6,95.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,96.1,96.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,96.6,96.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,96.9,96.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,97.2,97.2,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,97.7,97.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,98.2,98.2,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,98.7,98.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,99.2,99.2,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,99.5,99.5,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,100.0,100.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,100.2,100.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,100.5,100.5,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,101.0,101.0,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,101.2,101.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,101.8,101.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,102.3,102.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,102.5,102.5,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,103.0,103.0,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,103.3,103.3,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,103.8,103.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,104.3,104.3,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,104.6,104.6,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,105.1,105.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,105.3,105.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,105.6,105.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,105.8,105.8,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,106.1,106.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,106.4,106.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,106.6,106.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,107.1,107.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,107.4,107.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,108.0,108.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,108.4,108.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,108.7,108.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,109.2,109.2,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,109.7,109.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,110.0,110.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,110.5,110.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,111.0,111.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,111.5,111.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,111.7,111.7,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,112.0,112.0,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,112.3,112.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,112.5,112.5,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,112.8,112.8,0.15,
Suivi des lacs,Léman,SHL2,17/10/2016,113.0,113.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,113.3,113.3,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,113.6,113.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,114.1,114.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,114.3,114.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,114.8,114.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,115.1,115.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,115.4,115.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,115.8,115.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,116.1,116.1,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,116.6,116.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,117.1,117.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,117.4,117.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,117.7,117.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,118.1,118.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,118.4,118.4,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,118.7,118.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,119.2,119.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,119.7,119.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,120.2,120.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,120.4,120.4,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,120.7,120.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,121.2,121.2,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,121.7,121.7,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,122.0,122.0,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,122.5,122.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,122.8,122.8,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,123.0,123.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,123.5,123.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,124.0,124.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,124.3,124.3,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,124.6,124.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,125.1,125.1,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,125.6,125.6,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,125.8,125.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,126.1,126.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,126.6,126.6,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,126.9,126.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,127.1,127.1,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,127.4,127.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,127.9,127.9,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,128.4,128.4,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,128.9,128.9,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,129.2,129.2,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,129.4,129.4,0.12,
Suivi des lacs,Léman,SHL2,17/10/2016,129.7,129.7,0.03,
Suivi des lacs,Léman,SHL2,17/10/2016,130.0,130.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,130.5,130.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,131.0,131.0,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,131.2,131.2,0.09,
Suivi des lacs,Léman,SHL2,17/10/2016,131.7,131.7,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,132.2,132.2,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,132.8,132.8,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,133.3,133.3,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,133.5,133.5,0.06,
Suivi des lacs,Léman,SHL2,17/10/2016,133.8,133.8,0.03,
