date,B0,chl_max,z_max,sig
1976-01-23,6.132239218368044e-10,0.6093304920806348,7.707360274059066,31.445384445488546
1981-01-23,0.5263978423851666,0.2589557596606129,7.682840453831015,10.697711235793099
1986-01-23,1.1087547463719714,0.40244702935241333,20.999999999898726,21.920086069979277
1991-01-23,0.9970141077098156,0.06534954785495573,9.862614826642425,4.793543524800149
1996-01-23,1.3562641490577314,0.05192942234328347,7.114683355956923,2.2100677947026184
2001-01-23,3.461875575059077,0.8858862728311685,9.64018561268089,9.367825221194916
2006-01-23,0.8675495166075512,1.1838072990153796,11.355417812319232,31.547890882848606
2011-01-23,0.9897597168372079,1.4780708460071288,15.691761672163638,37.91735532168688
2016-01-23,1.7362355095006874,0.6751615730179573,20.9999999256748,979.3090798012026
1976-02-23,0.45481462019890284,0.2793201860225925,4.475878616205886,8.943818289054324
1981-02-23,0.5546360455651022,0.6360243386477487,5.74278138595178,6.4075860785252114
1986-02-23,1.0259856597505759,0.22111436450515579,8.779744192110044,6.558386255038302
1991-02-23,0.6549696887742423,0.06323557649149478,5.283171656232411,2.542608379452076
1996-02-23,1.0452023906886576,0.15258444457798054,6.898239131616492,6.908463775822304
2001-02-23,0.8439884623071626,1.8800584690783904,13.233821288379508,33.350087213636584
2006-02-23,1.6925527737740633,0.20890720529224044,5.317942749921417,2.1790224245978322
2011-02-23,1.7431152695640149,0.5934271477784175,5.405655349842091,5.966603577388398
2016-02-23,1.5914141267215214,0.2105138900173757,10.477302921380758,5.4792706315751785
1976-03-23,0.8099729061064556,5.257815059147977,7.748545067909084,8.794695924386815
1981-03-23,1.1186136822262651,0.5397062073611932,8.15338833052875,11.000982041278913
1986-03-23,1.4166955947836475,0.42113442274649215,8.555850530688266,8.335484540845824
1991-03-23,1.7627591583463678,5.29623074674783,-4.986259928137443,13.286008505307544
1996-03-23,2.268285386277545,2.7504272818878923,4.207258279552548,6.768536999928275
2001-03-23,3.8323286698970693,11.933711246098413,-4.999988442366609,6.814881413676494
2006-03-23,2.285630156258696,1.379871414639679,5.292251832167057,9.20438412142362
2011-03-23,3.087344004437949,3.344263829840264,4.415736362610141,9.760293554512847
2016-03-23,2.541680148051306,1.7185620520204687,5.180346721448363,4.197757647227714
1976-04-23,2.558217260101578,2.472008131918076,7.379446567692322,5.089373017548311
1981-04-23,2.1182681519784525,5.308808486535149,2.0718103022152676,11.646434891850552
1986-04-23,2.32515587581928,10.813309336655184,2.2021426354181535,6.896933096984568
1991-04-23,3.685153164691993,7.606641311325181,2.0637235340914377,4.3913658600211045
1996-04-23,3.983009453754102,8.508288209773845,1.8831667248797077,4.374137512383029
2001-04-23,3.6637404360557797,6.954712012398945,3.543112429261431,4.300527732952318
2006-04-23,3.655871007275297,6.507023164831675,1.9058660061310024,6.829826759692548
2011-04-23,3.27493928888803,5.224863859972945,6.18135882924266,8.785355923890227
2016-04-23,1.8288608018703165,2.8253268273529515,10.004902898132652,9.702546787555898
1976-05-23,1.6637248801867692,7.168097931665238,3.301551394864233,9.924839026369602
1981-05-23,4.229136683614454,13.154340593214433,2.2583334522261453,3.8612259962318567
1986-05-23,2.0365282339177035,15.410368149051058,2.478785050990737,5.297084251731227
1991-05-23,1.967460830289064,9.569756131673286,4.173349015129218,4.71794457561641
1996-05-23,1.8907039568300654,5.825819190433472,4.104483430943131,4.260971672107657
2001-05-23,1.8266269984534054,5.832141300471461,3.4785790801455727,4.608066189695366
2006-05-23,0.9470882354909631,3.765199774995775,7.943493915696092,7.964582262945592
2011-05-23,1.4645411572366989,4.492703208021832,10.550197611017534,7.310130622041578
2016-05-23,2.6112785123058884,3.1946032773797968,7.311766452008791,10.19627223660242
1976-06-23,0.9190305953108034,9.365844419559204,2.321282593281306,2.540216304578071
1981-06-23,0.5038857144686624,3.7327595492046712,-0.44423409237154826,9.99425125591929
1986-06-23,0.7530601157238951,5.157314060187516,3.7873326056933356,7.51454576256362
1991-06-23,0.594754248135881,6.263370075319513,5.497942894352384,4.536939498819103
1996-06-23,0.9753093112549107,5.672859679241757,8.482505360721934,5.461123148019343
2001-06-23,1.2937135151798622,9.229928270170662,7.366614010009758,4.428928576371768
2006-06-23,1.1990613173495006,3.767385750173906,10.011661272970693,7.433705750260845
2011-06-23,0.6716724219262801,4.5382500701819115,11.692271787486197,8.44667958370267
2016-06-23,9.403506496608385e-08,6.767277853336766,15.975296410310476,10.063090213389124
1976-07-23,1.5136280019362975,11.91581144999767,4.0515588835345495,7.299790686518591
1981-07-23,1.0521117928132964,12.929054947537459,5.542511106850014,4.305124443942769
1986-07-23,1.5612305293904358,6.092663199436031,4.148641797004719,3.683696515094721
1991-07-23,1.6869233400690014,9.38492896163037,9.24312817289631,4.945307447369445
1996-07-23,0.9112280406937565,7.147211105422839,8.163962921230961,6.824820752602271
2001-07-23,1.0837382451956645,8.58285900389668,9.138246976973356,6.92033608415651
2006-07-23,1.057841487609249,7.532852505716562,10.053579122894,9.571439720468478
2011-07-23,0.2715552867335796,4.8176359553590675,5.903730486150011,13.808497511539294
2016-07-23,1.1493088703788268,3.460227405281999,12.502398449870892,8.592260068679726
1976-08-23,1.1463075129059763,6.827233256589578,4.51660541626386,4.575934084123795
1981-08-23,1.4499896524029259,7.784397398321141,6.907703190977763,6.437156981909622
1986-08-23,0.7423488130480571,6.325936839730299,7.105909579475818,6.110942255950071
1991-08-23,7.237023386212063e-05,4.723352540303131,9.298340871767419,13.750432448583803
1996-08-23,0.569180025314121,7.631649553006205,7.055028820139799,7.699769166151821
